metric,model,mean diff,P(T test),P(wilcoxon test),P(ks test)
ROUGE-2,Baseline & Fusion,0.11362299999999986,0.13997518016385846,0.010449188538310899,0.0065922694080604635
ROUGE-2,Baseline & Ordering,0.0041199999999999015,0.19304165192469011,0.93451403694589597,0.62148994888870157
ROUGE-2,Fusion & Ordering,0.10950299999999996,0.069092434889398091,0.018701749637786994,0.0056470445023683548
ROUGE-2,Baseline & Ordering+Fusion,0.12360959999999993,0.069092434889398091,0.0051050560123188041,0.0044566094455675952
ROUGE-2,Ordering & Ordering+Fusion,0.11948960000000003,0.031376652153072448,0.0099302146504130131,0.00098369909761899317
ROUGE-2,Fusion & Ordering+Fusion,0.009986600000000068,0.99999689889731391,0.79877547262841786,0.75334568395674884
ROUGE-SU4,Baseline & Fusion,0.11362299999999986,0.13997518016385846,0.010449188538310899,0.0065922694080604635
ROUGE-SU4,Baseline & Ordering,0.0041199999999999015,0.19304165192469011,0.93451403694589597,0.62148994888870157
ROUGE-SU4,Fusion & Ordering,0.10950299999999996,0.069092434889398091,0.018701749637786994,0.0056470445023683548
ROUGE-SU4,Baseline & Ordering+Fusion,0.12360959999999993,0.069092434889398091,0.0051050560123188041,0.0044566094455675952
ROUGE-SU4,Ordering & Ordering+Fusion,0.11948960000000003,0.031376652153072448,0.0099302146504130131,0.00098369909761899317
ROUGE-SU4,Fusion & Ordering+Fusion,0.009986600000000068,0.99999689889731391,0.79877547262841786,0.75334568395674884
